epoch,val_mse,kendall_tau,accuracy
1,90.5881,0.8121,0.0423
2,45.3786,0.7272,0.0355
3,35.0718,0.7048,0.0376
4,31.4141,0.6894,0.0376
5,27.3109,0.7954,0.0068
6,24.1586,0.9527,0.0393
7,22.4727,1.0133,0.0395
8,21.5887,1.0461,0.0387
9,21.1414,1.0665,0.0391
10,20.7935,1.0725,0.0395
11,20.4340,1.0695,0.0385
12,20.1825,1.0701,0.0070
13,19.8965,1.0590,0.0063
14,19.6352,1.0506,0.0097
15,19.4032,1.0415,0.0093
16,19.1639,1.0281,0.0091
17,18.9411,1.0164,0.0074
18,18.7454,1.0023,0.0085
19,18.5403,0.9880,0.0105
20,18.3497,0.9754,0.0112
21,18.1043,0.9539,0.0114
22,17.8401,0.9366,0.0074
23,17.4900,0.9091,0.0063
24,16.9706,0.8713,0.0072
25,16.3727,0.8332,0.0057
26,15.7469,0.7866,0.0383
27,15.2028,0.7461,0.0404
28,14.7460,0.7221,0.0723
29,14.3051,0.6957,0.0126
30,14.0335,0.6946,0.0154
31,13.7462,0.6931,0.0183
32,13.4965,0.6897,0.0147
33,13.2562,0.6922,0.0124
34,13.0561,0.6927,0.0109
35,12.7915,0.6874,0.0114
36,12.6529,0.6884,0.0152
37,12.3849,0.6787,0.0148
38,12.3394,0.6822,0.0187
39,12.1374,0.6749,0.0790
40,12.0486,0.6720,0.0751
41,11.7591,0.6584,0.0434
42,11.5080,0.6463,0.0411
43,11.3325,0.6407,0.0406
44,11.2023,0.6362,0.0095
45,10.9245,0.6260,0.0099
46,10.8081,0.6243,0.0097
47,10.6090,0.6127,0.0122
48,10.5517,0.6118,0.0188
49,10.4171,0.6061,0.0179
50,10.3549,0.5991,0.0160
51,10.2318,0.5945,0.0167
52,10.1467,0.5889,0.0165
53,10.0719,0.5849,0.0169
54,10.0340,0.5823,0.0139
55,9.9802,0.5791,0.0127
56,9.9690,0.5767,0.0118
57,9.9163,0.5759,0.0120
58,9.8664,0.5724,0.0131
59,9.7724,0.5675,0.0129
60,9.7323,0.5645,0.0120
61,9.6613,0.5620,0.0112
62,9.6193,0.5580,0.0101
63,9.4572,0.5510,0.0108
64,9.4843,0.5505,0.0107
65,9.4483,0.5462,0.0093
66,9.3800,0.5441,0.0093
67,9.3776,0.5457,0.0097
68,9.3791,0.5464,0.0093
69,9.2950,0.5415,0.0097
70,9.2707,0.5390,0.0083
71,9.2301,0.5374,0.0085
72,9.1357,0.5326,0.0406
73,9.1495,0.5316,0.0387
74,9.0943,0.5291,0.0398
75,9.0427,0.5285,0.0396
76,9.0619,0.5274,0.0402
77,9.0756,0.5277,0.0423
78,9.0253,0.5245,0.0406
79,9.0422,0.5261,0.0433
80,8.9834,0.5220,0.0438
81,8.9483,0.5213,0.0442
82,8.9122,0.5179,0.0431
83,8.8226,0.5130,0.0439
84,8.8511,0.5153,0.0450
85,8.7979,0.5107,0.0436
86,8.8150,0.5132,0.0433
87,8.7126,0.5054,0.0450
88,8.7920,0.5114,0.0425
89,8.7898,0.5116,0.0425
90,8.7426,0.5103,0.0427
91,8.8152,0.5142,0.0436
92,8.6578,0.5040,0.0431
93,8.6574,0.5043,0.0421
94,8.6317,0.5032,0.0427
95,8.6997,0.5076,0.0425
96,8.5915,0.5021,0.0404
97,8.6387,0.5036,0.0432
98,8.5849,0.5002,0.0407
99,8.5454,0.4994,0.0400
100,8.5598,0.4968,0.0429
