run,best_cost,avg_cost,std_dev,avg_exc,time
1,2725.0,2725.0,0.0,155.38894095595126,7.825946092605591
2,2718.0,2718.0,0.0,154.73289597000937,7.790767431259155
3,2771.0,2771.0,0.0,159.7000937207123,8.02976655960083
4,2649.0,2649.0,0.0,148.26616682286786,7.762420654296875
5,2828.0,2828.0,0.0,165.04217432052485,7.701093673706055
6,2882.0,2882.0,0.0,170.10309278350516,7.656280517578125
7,2773.0,2773.0,0.0,159.8875351452671,7.979712009429932
8,2834.0,2834.0,0.0,165.6044985941893,7.703249931335449
9,2806.0,2806.0,0.0,162.98031865042176,8.046708822250366
10,2891.0,2891.0,0.0,170.94657919400186,7.879775285720825
11,2603.0,2603.0,0.0,143.95501405810685,7.870027303695679
12,2731.0,2731.0,0.0,155.95126522961576,7.990195989608765
13,2664.0,2664.0,0.0,149.67197750702906,7.707406282424927
14,2669.0,2669.0,0.0,150.1405810684161,7.625770092010498
15,2933.0,2933.0,0.0,174.88284910965325,7.801704168319702
