run,best_cost,avg_cost,std_dev,avg_exc,time
1,1162.0,1232.2916666666667,23.447599675778235,15.491252733520783,13485.435314416885
2,1168.0,1237.5833333333333,24.662584121611335,15.987191502655412,13333.102191209793
3,1152.0,1235.9583333333333,24.83022212054406,15.834895345204616,13624.246987104416
4,1156.0,1235.8333333333333,20.323768242025285,15.82318025616994,13452.995657444
5,1176.0,1234.25,16.656455205114924,15.674789128397377,13606.428079843521
6,1172.0,1231.2083333333333,18.08770108542143,15.389721961886904,13508.198894262314
7,1170.0,1237.0416666666667,21.04059403206626,15.936426116838495,13565.031335830688
8,1153.0,1236.375,23.804433235569096,15.873945641986879,13274.345759153366
9,1164.0,1233.6666666666667,24.186199003196474,15.620118712902226,13910.915588617325
10,1155.0,1236.1666666666667,25.248212257944566,15.85442049359576,13556.287523269653
11,1147.0,1233.5416666666667,23.034356887532635,15.608403623867547,13119.383482694626
12,1163.0,1232.6666666666667,26.26256313123725,15.52639800062481,13321.603616476059
13,1176.0,1233.75,21.97204663506186,15.62792877225867,13602.859093904495
14,1173.0,1229.625,24.525178388749794,15.241330834114338,13218.440840244293
15,1160.0,1233.0833333333333,20.27090827324277,15.565448297407054,13283.050794124603
