run,best_cost,avg_cost,std_dev,avg_exc,time
1,549.0,601.9166666666666,17.946486811877385,15.531030070377472,1888.9628455638885
2,555.0,600.4583333333334,15.055395396852104,15.251119641714658,1918.8647408485413
3,548.0,597.5833333333334,15.494398629468938,14.699296225207942,1882.0173664093018
4,542.0,601.25,18.134336675673215,15.403071017274472,1883.273742198944
5,548.0,604.0416666666666,16.24161108251135,15.938899552143306,1854.453442811966
6,549.0,601.3333333333334,14.715826703096077,15.419065898912354,1892.4057099819183
7,550.0,598.5,15.110702608857515,14.875239923224568,1876.9522817134857
8,542.0,601.125,18.392282122310615,15.379078694817657,1884.2346506118774
9,548.0,605.0833333333334,18.808058261169748,16.13883557261677,1852.9750301837921
10,543.0,597.5416666666666,16.103775868479485,14.691298784388987,1874.3252730369568
11,548.0,601.8333333333334,13.464975141289921,15.51503518873961,1855.439880847931
12,541.0,602.125,16.94430213965745,15.571017274472169,1899.6971905231476
13,543.0,602.7083333333334,17.16702062741879,15.682981445937308,1880.0822422504425
14,540.0,604.8333333333334,18.32272420308242,16.090850927703144,1901.258163690567
15,543.0,600.6666666666666,18.61600267392427,15.291106845809333,1885.5388898849487
