run,best_cost,avg_cost,std_dev,avg_exc,time
1,1375.0,1375.0,0.0,163.91554702495202,4.880962133407593
2,1288.0,1288.0,0.0,147.2168905950096,4.72899603843689
3,1246.0,1246.0,0.0,139.15547024952016,4.886242151260376
4,1319.0,1319.0,0.0,153.16698656429944,4.960291624069214
5,1299.0,1299.0,0.0,149.3282149712092,4.9713428020477295
6,1297.0,1297.0,0.0,148.9443378119002,4.86807918548584
7,1237.0,1237.0,0.0,137.42802303262954,4.932467460632324
8,1360.0,1360.0,0.0,161.03646833013437,4.616389989852905
9,1411.0,1411.0,0.0,170.82533589251437,4.8219544887542725
10,1360.0,1360.0,0.0,161.03646833013437,4.7740478515625
11,1416.0,1416.0,0.0,171.78502879078695,4.903266191482544
12,1274.0,1274.0,0.0,144.52975047984643,4.858151912689209
13,1290.0,1290.0,0.0,147.6007677543186,4.850369691848755
14,1154.0,1154.0,0.0,121.49712092130518,4.750376462936401
15,1373.0,1373.0,0.0,163.531669865643,4.782768726348877
