run,best_cost,avg_cost,std_dev,avg_exc,time
1,868.0,927.7916666666666,22.001854404168352,11.78212851405622,4930.20663356781
2,874.0,934.0833333333334,18.843470723008778,12.540160642570285,4895.145983219147
3,868.0,935.25,16.61638247834548,12.680722891566266,4980.213561058044
4,877.0,936.8333333333334,18.645076800294735,12.871485943775104,4924.525902271271
5,867.0,930.9583333333334,21.233776486741327,12.1636546184739,4865.194408655167
6,866.0,937.0416666666666,20.278229637279043,12.896586345381522,4901.514985561371
7,863.0,927.9166666666666,20.465248322189716,11.797188755020075,4928.545658111572
8,872.0,929.0833333333334,19.074233638311366,11.937751004016068,4856.008010864258
9,867.0,927.4166666666666,20.070535341362692,11.736947791164653,4852.5246777534485
10,869.0,936.2916666666666,29.22253577672927,12.806224899598389,4866.9846477508545
11,877.0,933.75,15.14444342545036,12.5,4905.1239178180695
12,870.0,927.4583333333334,19.013107686248688,11.741967871485947,4881.183504104614
13,870.0,930.5416666666666,19.02625196639866,12.113453815261039,4782.065263271332
14,866.0,927.2916666666666,22.933743637317964,11.7218875502008,4923.515795707703
15,872.0,926.5416666666666,18.68372546421677,11.631526104417667,4777.552881002426
