generation,best_cost
1,598.0
2,598.0
3,598.0
4,598.0
5,598.0
6,598.0
7,598.0
8,598.0
9,595.0
10,595.0
11,595.0
12,588.0
13,588.0
14,588.0
15,588.0
16,588.0
17,588.0
18,588.0
19,575.0
20,575.0
21,575.0
22,575.0
23,575.0
24,575.0
25,575.0
26,575.0
27,575.0
28,575.0
29,575.0
30,575.0
31,575.0
32,575.0
33,575.0
34,575.0
35,575.0
36,575.0
37,575.0
38,575.0
39,575.0
40,575.0
41,575.0
42,575.0
43,575.0
44,575.0
45,575.0
46,575.0
47,575.0
48,575.0
49,575.0
50,575.0
51,575.0
52,575.0
53,575.0
54,575.0
55,575.0
56,575.0
57,575.0
58,575.0
59,575.0
60,575.0
61,575.0
62,575.0
63,575.0
64,575.0
65,575.0
66,575.0
67,575.0
68,575.0
69,575.0
70,575.0
71,575.0
72,575.0
73,575.0
74,575.0
75,575.0
76,575.0
77,575.0
78,575.0
79,575.0
80,575.0
81,575.0
82,575.0
83,575.0
84,575.0
85,575.0
86,575.0
87,575.0
88,575.0
89,575.0
90,575.0
91,575.0
92,575.0
93,575.0
94,575.0
95,575.0
96,575.0
97,575.0
98,575.0
99,575.0
100,575.0
101,575.0
102,575.0
103,575.0
104,575.0
105,575.0
106,575.0
107,575.0
108,575.0
109,575.0
110,575.0
111,575.0
112,575.0
113,575.0
114,575.0
115,575.0
116,575.0
117,575.0
118,575.0
119,575.0
120,575.0
121,575.0
122,575.0
123,575.0
124,575.0
125,575.0
126,575.0
127,575.0
128,575.0
129,575.0
130,575.0
131,575.0
132,575.0
133,575.0
134,575.0
135,575.0
136,575.0
137,575.0
138,575.0
139,575.0
140,575.0
141,575.0
142,575.0
143,575.0
144,575.0
145,575.0
146,575.0
147,575.0
148,575.0
149,575.0
150,575.0
151,575.0
152,575.0
153,575.0
154,575.0
155,575.0
156,575.0
157,575.0
158,575.0
159,575.0
160,575.0
161,575.0
162,575.0
163,575.0
164,575.0
165,575.0
166,575.0
167,575.0
168,575.0
169,575.0
170,575.0
171,575.0
172,575.0
173,575.0
174,575.0
175,575.0
176,575.0
177,575.0
178,575.0
179,575.0
180,575.0
181,575.0
182,575.0
183,575.0
184,575.0
185,575.0
186,575.0
187,575.0
188,575.0
189,575.0
190,575.0
191,575.0
192,575.0
193,575.0
194,575.0
195,575.0
196,575.0
197,575.0
198,575.0
199,575.0
200,575.0
201,575.0
202,575.0
203,575.0
204,575.0
205,575.0
206,575.0
207,575.0
208,575.0
209,575.0
210,575.0
211,575.0
212,575.0
213,575.0
214,575.0
215,575.0
216,575.0
217,575.0
218,575.0
219,575.0
220,575.0
221,575.0
222,575.0
223,575.0
224,575.0
225,575.0
226,575.0
227,575.0
228,575.0
229,575.0
230,575.0
231,575.0
232,575.0
233,575.0
234,575.0
235,575.0
236,575.0
237,575.0
238,575.0
239,575.0
240,575.0
241,575.0
242,575.0
243,575.0
244,575.0
245,575.0
246,575.0
247,575.0
248,575.0
249,575.0
250,575.0
251,575.0
252,575.0
253,575.0
254,575.0
255,575.0
256,575.0
257,575.0
258,575.0
259,575.0
260,575.0
261,575.0
262,575.0
263,575.0
264,575.0
265,575.0
266,575.0
267,575.0
268,575.0
269,575.0
270,575.0
271,575.0
272,575.0
273,575.0
274,575.0
275,575.0
276,575.0
277,575.0
278,575.0
279,575.0
280,575.0
281,575.0
282,575.0
283,575.0
284,575.0
285,575.0
286,575.0
287,575.0
288,575.0
289,575.0
290,575.0
291,575.0
292,575.0
293,575.0
294,575.0
295,575.0
296,575.0
297,575.0
298,575.0
299,575.0
300,575.0
301,575.0
302,575.0
303,575.0
304,575.0
305,575.0
306,575.0
307,575.0
308,575.0
309,575.0
310,575.0
311,575.0
312,575.0
313,575.0
314,575.0
315,575.0
316,575.0
317,575.0
318,575.0
319,575.0
320,575.0
321,575.0
322,575.0
323,575.0
324,575.0
325,575.0
326,575.0
327,575.0
328,575.0
329,575.0
330,575.0
331,575.0
332,575.0
333,575.0
334,575.0
335,575.0
336,575.0
337,575.0
338,575.0
339,575.0
340,575.0
341,575.0
342,575.0
343,575.0
344,575.0
345,575.0
346,575.0
347,575.0
348,575.0
349,575.0
350,575.0
351,575.0
352,575.0
353,575.0
354,575.0
355,575.0
356,575.0
357,575.0
358,575.0
359,575.0
360,575.0
361,575.0
362,575.0
363,575.0
364,575.0
365,575.0
366,575.0
367,575.0
368,575.0
369,575.0
370,575.0
371,575.0
372,575.0
373,575.0
374,575.0
375,575.0
376,575.0
377,575.0
378,575.0
379,575.0
380,575.0
381,575.0
382,575.0
383,575.0
384,575.0
385,575.0
386,575.0
387,575.0
388,575.0
389,575.0
390,575.0
391,575.0
392,575.0
393,575.0
394,575.0
395,575.0
396,575.0
397,575.0
398,575.0
399,575.0
400,575.0
