generation,best_cost
1,400.0
2,394.0
3,389.0
4,389.0
5,389.0
6,389.0
7,389.0
8,389.0
9,389.0
10,389.0
11,389.0
12,389.0
13,389.0
14,389.0
15,389.0
16,389.0
17,389.0
18,389.0
19,389.0
20,389.0
21,389.0
22,389.0
23,389.0
24,389.0
25,389.0
26,389.0
27,389.0
28,389.0
29,389.0
30,389.0
31,389.0
32,389.0
33,389.0
34,389.0
35,389.0
36,389.0
37,389.0
38,389.0
39,389.0
40,389.0
41,389.0
42,389.0
43,389.0
44,389.0
45,389.0
46,389.0
47,389.0
48,389.0
49,389.0
50,389.0
51,389.0
52,389.0
53,389.0
54,389.0
55,389.0
56,389.0
57,389.0
58,389.0
59,389.0
60,389.0
61,389.0
62,389.0
63,389.0
64,389.0
65,389.0
66,389.0
67,389.0
68,389.0
69,389.0
70,389.0
71,389.0
72,389.0
73,389.0
74,389.0
75,389.0
76,389.0
77,389.0
78,389.0
79,389.0
80,389.0
81,389.0
82,389.0
83,389.0
84,389.0
85,389.0
86,389.0
87,389.0
88,389.0
89,389.0
90,389.0
91,389.0
92,389.0
93,389.0
94,389.0
95,389.0
96,389.0
97,389.0
98,389.0
99,389.0
100,389.0
101,389.0
102,389.0
103,389.0
104,389.0
105,389.0
106,389.0
107,389.0
108,389.0
109,389.0
110,389.0
111,389.0
112,389.0
113,389.0
114,389.0
115,389.0
116,389.0
117,389.0
118,389.0
119,389.0
120,389.0
121,389.0
122,389.0
123,389.0
124,389.0
125,389.0
126,389.0
127,389.0
128,389.0
129,389.0
130,389.0
131,389.0
132,389.0
133,389.0
134,389.0
135,389.0
136,389.0
137,389.0
138,389.0
139,389.0
140,389.0
141,389.0
142,389.0
143,389.0
144,389.0
145,389.0
146,389.0
147,389.0
148,389.0
149,389.0
150,389.0
151,389.0
152,389.0
153,389.0
154,389.0
155,389.0
156,389.0
157,389.0
158,389.0
159,389.0
160,389.0
161,389.0
162,389.0
163,389.0
164,389.0
165,389.0
166,389.0
167,389.0
168,389.0
169,389.0
170,389.0
171,389.0
172,389.0
173,389.0
174,389.0
175,389.0
176,389.0
177,389.0
178,389.0
179,389.0
180,389.0
181,389.0
182,389.0
183,389.0
184,389.0
185,389.0
186,389.0
187,389.0
188,389.0
189,389.0
190,389.0
191,389.0
192,389.0
193,389.0
194,389.0
195,389.0
196,389.0
197,389.0
198,389.0
199,389.0
200,389.0
201,389.0
202,389.0
203,389.0
204,389.0
205,389.0
206,389.0
207,389.0
208,389.0
209,389.0
210,389.0
211,389.0
212,389.0
213,389.0
214,389.0
215,389.0
216,389.0
217,389.0
218,389.0
219,389.0
220,389.0
221,389.0
222,389.0
223,389.0
224,389.0
225,389.0
226,389.0
227,389.0
228,389.0
229,389.0
230,389.0
231,389.0
232,389.0
233,389.0
234,389.0
235,389.0
236,389.0
237,389.0
238,389.0
239,389.0
240,389.0
241,389.0
242,389.0
243,389.0
244,389.0
245,389.0
246,389.0
247,389.0
248,389.0
249,389.0
250,389.0
251,389.0
252,389.0
253,389.0
254,389.0
255,389.0
256,389.0
257,389.0
258,389.0
259,389.0
260,389.0
261,389.0
262,389.0
263,389.0
264,389.0
265,389.0
266,389.0
267,389.0
268,389.0
269,389.0
270,389.0
271,389.0
272,389.0
273,389.0
274,389.0
275,389.0
276,389.0
277,389.0
278,389.0
279,389.0
280,389.0
281,389.0
282,389.0
283,389.0
284,389.0
285,389.0
286,389.0
287,389.0
288,389.0
289,389.0
290,389.0
291,389.0
292,389.0
293,389.0
294,389.0
295,389.0
296,389.0
297,389.0
298,389.0
299,389.0
300,389.0
301,389.0
302,389.0
303,389.0
304,389.0
305,389.0
306,389.0
307,389.0
308,389.0
309,389.0
310,389.0
311,389.0
312,389.0
313,389.0
314,389.0
315,389.0
316,389.0
317,389.0
318,389.0
319,389.0
320,389.0
321,389.0
322,389.0
323,389.0
324,389.0
325,389.0
326,389.0
327,389.0
328,389.0
329,389.0
330,389.0
331,389.0
332,389.0
333,389.0
334,389.0
335,389.0
336,389.0
337,389.0
338,389.0
339,389.0
340,389.0
341,389.0
342,389.0
343,389.0
344,389.0
345,389.0
346,389.0
347,389.0
348,389.0
349,389.0
350,389.0
351,389.0
352,389.0
353,389.0
354,389.0
355,389.0
356,389.0
357,389.0
358,389.0
359,389.0
360,389.0
361,389.0
362,389.0
363,389.0
364,389.0
365,389.0
366,389.0
367,389.0
368,389.0
369,389.0
370,389.0
371,389.0
372,389.0
373,389.0
374,389.0
375,389.0
376,389.0
377,389.0
378,389.0
379,389.0
380,389.0
381,389.0
382,389.0
383,389.0
384,389.0
385,389.0
386,389.0
387,389.0
388,389.0
389,389.0
390,389.0
391,389.0
392,389.0
393,389.0
394,389.0
395,389.0
396,389.0
397,389.0
398,389.0
399,389.0
400,389.0
