generation,best_cost
1,627.0
2,627.0
3,600.0
4,600.0
5,600.0
6,600.0
7,600.0
8,600.0
9,600.0
10,600.0
11,582.0
12,582.0
13,582.0
14,582.0
15,582.0
16,582.0
17,582.0
18,582.0
19,582.0
20,582.0
21,582.0
22,582.0
23,582.0
24,582.0
25,582.0
26,582.0
27,582.0
28,582.0
29,582.0
30,582.0
31,582.0
32,582.0
33,582.0
34,582.0
35,582.0
36,582.0
37,582.0
38,582.0
39,582.0
40,580.0
41,580.0
42,580.0
43,580.0
44,580.0
45,580.0
46,580.0
47,580.0
48,580.0
49,580.0
50,580.0
51,580.0
52,580.0
53,580.0
54,580.0
55,580.0
56,580.0
57,580.0
58,580.0
59,580.0
60,580.0
61,580.0
62,580.0
63,580.0
64,580.0
65,580.0
66,580.0
67,580.0
68,580.0
69,580.0
70,580.0
71,580.0
72,580.0
73,580.0
74,580.0
75,580.0
76,580.0
77,580.0
78,580.0
79,580.0
80,580.0
81,580.0
82,580.0
83,580.0
84,580.0
85,580.0
86,580.0
87,580.0
88,580.0
89,580.0
90,580.0
91,580.0
92,580.0
93,580.0
94,580.0
95,580.0
96,580.0
97,580.0
98,580.0
99,580.0
100,580.0
101,580.0
102,580.0
103,580.0
104,580.0
105,580.0
106,580.0
107,580.0
108,580.0
109,580.0
110,580.0
111,580.0
112,580.0
113,580.0
114,580.0
115,580.0
116,580.0
117,580.0
118,580.0
119,580.0
120,580.0
121,580.0
122,580.0
123,580.0
124,580.0
125,580.0
126,580.0
127,580.0
128,580.0
129,580.0
130,580.0
131,580.0
132,580.0
133,580.0
134,580.0
135,580.0
136,580.0
137,580.0
138,580.0
139,580.0
140,580.0
141,580.0
142,580.0
143,580.0
144,580.0
145,580.0
146,580.0
147,580.0
148,580.0
149,580.0
150,580.0
151,580.0
152,580.0
153,580.0
154,580.0
155,580.0
156,580.0
157,580.0
158,580.0
159,580.0
160,580.0
161,580.0
162,580.0
163,580.0
164,580.0
165,580.0
166,580.0
167,580.0
168,580.0
169,580.0
170,580.0
171,580.0
172,580.0
173,580.0
174,580.0
175,580.0
176,580.0
177,580.0
178,580.0
179,580.0
180,580.0
181,580.0
182,580.0
183,580.0
184,580.0
185,580.0
186,580.0
187,580.0
188,580.0
189,580.0
190,580.0
191,580.0
192,580.0
193,580.0
194,580.0
195,580.0
196,580.0
197,580.0
198,580.0
199,580.0
200,580.0
201,580.0
202,580.0
203,580.0
204,580.0
205,580.0
206,580.0
207,580.0
208,580.0
209,580.0
210,580.0
211,580.0
212,580.0
213,580.0
214,580.0
215,580.0
216,580.0
217,580.0
218,580.0
219,580.0
220,580.0
221,580.0
222,580.0
223,580.0
224,580.0
225,580.0
226,580.0
227,580.0
228,580.0
229,580.0
230,580.0
231,580.0
232,580.0
233,580.0
234,580.0
235,580.0
236,580.0
237,580.0
238,580.0
239,580.0
240,580.0
241,580.0
242,580.0
243,580.0
244,580.0
245,580.0
246,580.0
247,580.0
248,580.0
249,580.0
250,580.0
251,580.0
252,580.0
253,580.0
254,580.0
255,580.0
256,580.0
257,580.0
258,580.0
259,580.0
260,580.0
261,580.0
262,580.0
263,580.0
264,580.0
265,580.0
266,580.0
267,580.0
268,580.0
269,580.0
270,580.0
271,580.0
272,580.0
273,580.0
274,580.0
275,580.0
276,580.0
277,580.0
278,580.0
279,580.0
280,580.0
281,580.0
282,580.0
283,580.0
284,580.0
285,580.0
286,580.0
287,580.0
288,580.0
289,580.0
290,580.0
291,580.0
292,580.0
293,580.0
294,580.0
295,580.0
296,580.0
297,580.0
298,580.0
299,580.0
300,580.0
301,580.0
302,580.0
303,580.0
304,580.0
305,580.0
306,580.0
307,580.0
308,580.0
309,580.0
310,580.0
311,580.0
312,580.0
313,580.0
314,580.0
315,580.0
316,580.0
317,580.0
318,580.0
319,580.0
320,580.0
321,580.0
322,580.0
323,580.0
324,580.0
325,580.0
326,580.0
327,580.0
328,580.0
329,580.0
330,580.0
331,580.0
332,580.0
333,580.0
334,580.0
335,580.0
336,580.0
337,580.0
338,580.0
339,580.0
340,580.0
341,580.0
342,580.0
343,580.0
344,580.0
345,580.0
346,580.0
347,580.0
348,580.0
349,580.0
350,580.0
351,580.0
352,580.0
353,580.0
354,580.0
355,580.0
356,580.0
357,580.0
358,580.0
359,580.0
360,580.0
361,580.0
362,580.0
363,580.0
364,580.0
365,580.0
366,580.0
367,580.0
368,580.0
369,580.0
370,580.0
371,580.0
372,580.0
373,580.0
374,580.0
375,580.0
376,580.0
377,580.0
378,580.0
379,580.0
380,580.0
381,580.0
382,580.0
383,580.0
384,580.0
385,580.0
386,580.0
387,580.0
388,580.0
389,580.0
390,580.0
391,580.0
392,580.0
393,580.0
394,580.0
395,580.0
396,580.0
397,580.0
398,580.0
399,580.0
400,580.0
