run,best_cost,avg_cost,std_dev,avg_exc,time
1,492.0,496.2352941176471,8.588839624184713,32.32941176470588,4.744680166244507
2,514.0,514.9411764705883,0.23529411764705882,37.317647058823546,4.505367755889893
3,491.0,496.9117647058824,6.446009468057252,32.50980392156863,4.849796772003174
4,450.0,457.29411764705884,13.996910187955361,21.94509803921569,5.049259662628174
5,451.0,455.8529411764706,9.289881759968038,21.560784313725495,4.775623083114624
6,477.0,484.2647058823529,10.201813055500338,29.13725490196078,4.897467374801636
7,439.0,444.7647058823529,7.096224445723447,18.603921568627445,4.989560127258301
8,536.0,538.0588235294117,4.7585290390956905,43.48235294117646,5.07891321182251
9,501.0,504.70588235294116,15.106542041670139,34.588235294117645,5.1626152992248535
10,461.0,474.9117647058824,17.177905862676905,26.643137254901966,5.370722532272339
11,493.0,499.02941176470586,3.6661030289239176,33.07450980392156,4.666940927505493
12,467.0,472.29411764705884,4.674897996777771,25.94509803921569,5.149674415588379
13,493.0,493.7352941176471,4.223943122454433,31.66274509803922,4.917351245880127
14,459.0,462.1470588235294,9.481040998134356,23.239215686274502,5.137649297714233
15,479.0,482.0,6.760612572314818,28.53333333333333,4.9929118156433105
16,479.0,481.3235294117647,4.842948714278828,28.352941176470587,4.877716302871704
17,464.0,466.11764705882354,8.348175939838077,24.298039215686277,4.911433458328247
18,513.0,518.0882352941177,12.281903586551335,38.156862745098046,5.1087327003479
19,477.0,477.29411764705884,1.689577248981773,27.278431372549022,5.125367879867554
20,520.0,527.8823529411765,10.698446027570746,40.76862745098039,4.675751209259033
