run,best_cost,avg_cost,std_dev,avg_exc,time
1,564.0,564.0,0.0,50.4,4.37383508682251
2,498.0,498.0,0.0,32.800000000000004,4.996026515960693
3,517.0,517.0,0.0,37.86666666666667,4.7539756298065186
4,590.0,590.0,0.0,57.333333333333336,4.984701871871948
5,554.0,554.0,0.0,47.733333333333334,5.148480653762817
6,524.0,524.0,0.0,39.733333333333334,5.239227056503296
7,516.0,516.0,0.0,37.6,5.031420469284058
8,510.0,510.0,0.0,36.0,4.958308458328247
9,521.0,521.0,0.0,38.93333333333333,5.269551992416382
10,587.0,587.0,0.0,56.53333333333334,4.909700393676758
11,545.0,545.0,0.0,45.33333333333333,5.01708722114563
12,563.0,563.0,0.0,50.13333333333333,5.3287694454193115
13,534.0,534.0,0.0,42.4,5.188648700714111
14,575.0,575.0,0.0,53.333333333333336,4.876280069351196
15,582.0,582.0,0.0,55.2,4.953096151351929
16,537.0,537.0,0.0,43.2,5.283371686935425
17,513.0,513.0,0.0,36.8,4.633559942245483
18,580.0,580.0,0.0,54.666666666666664,5.285409450531006
19,489.0,489.0,0.0,30.4,4.840305805206299
20,542.0,542.0,0.0,44.53333333333334,5.095038414001465
