instance,operator,mut,best,avg,std,avg_exc,time
E-n22-k4,AEX,mut,377.0,413.96911764705885,14.42230079107687,10.391764705882354,386.4143764972687
E-n22-k4,AEX,nomut,377.0,392.97058823529414,4.040276903108545,4.792156862745098,179.05355050563813
E-n22-k4,BRKGA,mut,439.0,487.3926470588235,7.9782799419152495,29.97137254901961,4.9493767619133
E-n22-k4,BRKGA,nomut,489.0,542.05,0.0,44.54666666666667,5.008339750766754
E-n22-k4,CX,mut,377.0,417.11617647058824,15.580329981845045,11.230980392156862,325.79366810321807
E-n22-k4,CX,nomut,377.0,377.35,0.0,0.6266666666666667,159.37641355991363
E-n22-k4,LNN,mut,377.0,421.8441176470588,16.0729647047487,12.491764705882352,503.59241642951963
E-n22-k4,LNN,nomut,377.0,422.3779411764706,15.904477612233665,12.634117647058822,516.5842563033104
E-n22-k4,OX,mut,377.0,418.5529411764706,16.21152332667348,11.614117647058823,380.00117049217226
E-n22-k4,OX,nomut,377.0,417.81470588235294,16.599879541851212,11.417254901960785,376.3284852147102
E-n22-k4,RK-2PX,mut,423.0,489.2191176470588,10.340610237592628,30.45843137254902,5.331433784961701
E-n22-k4,RK-2PX,nomut,436.0,547.2,0.0,45.92,5.249980556964874
