run,best_cost,avg_cost,std_dev,avg_exc,time
1,434.0,446.88,11.039275338535587,19.168,16.308870315551758
2,470.0,480.5,14.691834466805021,28.133333333333333,18.155539989471436
3,448.0,457.32,17.835290858295526,21.951999999999998,19.553086519241333
4,481.0,503.42,19.014825794626677,34.24533333333334,19.99787425994873
5,433.0,452.42,20.63597829035493,20.645333333333337,14.469954490661621
6,488.0,493.14,16.743966077366498,31.503999999999998,16.800670862197876
7,502.0,513.12,29.34596394736421,36.832,19.798629760742188
8,422.0,438.18,18.19746136140973,16.848000000000003,19.909693241119385
9,479.0,490.34,20.67230998219599,30.757333333333325,19.178757905960083
10,474.0,482.96,12.380565415198129,28.789333333333328,17.65847659111023
11,492.0,492.3,2.1,31.28,19.313706636428833
12,453.0,470.16,15.654213490303496,25.376000000000005,20.17363452911377
13,419.0,430.7,11.19866063420086,14.85333333333333,19.83505606651306
14,423.0,430.82,11.004889822256287,14.885333333333332,20.40934705734253
15,429.0,437.68,15.684948198830622,16.71466666666667,20.02832818031311
16,512.0,528.0,19.57549488518745,40.8,19.549052238464355
17,448.0,468.3,19.02235526952433,24.880000000000003,18.68433117866516
18,461.0,465.18,8.717086669294966,24.048000000000002,17.795379161834717
19,432.0,436.78,7.632273580002226,16.47466666666666,19.42619752883911
20,461.0,465.22,12.980431425803998,24.058666666666674,19.437159061431885
21,469.0,477.66,16.65726268028454,27.376000000000005,19.549057483673096
22,469.0,478.76,15.24278189832814,27.66933333333333,19.743008136749268
23,451.0,461.74,10.001619868801253,23.13066666666667,15.832061529159546
24,461.0,464.54,13.135006661589479,23.87733333333334,18.626381874084473
25,451.0,463.06,17.59932953268391,23.482666666666667,9.786251068115234
26,494.0,500.14,17.17906865927254,33.370666666666665,9.119804382324219
27,421.0,435.56,16.143308211144333,16.149333333333335,7.859693765640259
28,424.0,431.14,10.00401919230466,14.970666666666663,8.545648336410522
29,449.0,461.94,16.88835101482676,23.183999999999997,7.786390781402588
30,439.0,446.76,13.76453413668621,19.135999999999996,7.390439987182617
