run,best_cost,avg_cost,std_dev,avg_exc,time
1,511.0,511.0,0.0,36.266666666666666,15.057099103927612
2,531.0,531.0,0.0,41.6,13.483792304992676
3,464.0,464.0,0.0,23.733333333333334,11.05203127861023
4,537.0,537.0,0.0,43.2,10.154621362686157
5,554.0,554.0,0.0,47.733333333333334,10.75156569480896
6,514.0,514.0,0.0,37.06666666666666,10.588403224945068
7,564.0,564.0,0.0,50.4,11.087918758392334
8,547.0,547.0,0.0,45.86666666666667,11.231889724731445
9,532.0,532.0,0.0,41.86666666666667,14.789621353149414
10,545.0,545.0,0.0,45.33333333333333,11.181928396224976
11,478.0,478.0,0.0,27.46666666666667,11.519227743148804
12,485.0,485.0,0.0,29.333333333333332,11.190570592880249
13,482.0,482.0,0.0,28.53333333333333,11.021257638931274
14,542.0,542.0,0.0,44.53333333333334,14.573368787765503
15,498.0,498.0,0.0,32.800000000000004,11.180229425430298
16,488.0,488.0,0.0,30.133333333333333,11.787365436553955
17,471.0,471.0,0.0,25.6,13.574715614318848
18,455.0,455.0,0.0,21.333333333333336,13.440996408462524
19,476.0,476.0,0.0,26.93333333333333,12.957058191299438
20,505.0,505.0,0.0,34.66666666666667,11.79551100730896
21,527.0,527.0,0.0,40.53333333333333,11.467572927474976
22,474.0,474.0,0.0,26.400000000000002,11.601773738861084
23,527.0,527.0,0.0,40.53333333333333,11.399364471435547
24,497.0,497.0,0.0,32.53333333333333,11.476332426071167
25,501.0,501.0,0.0,33.6,7.443052291870117
26,579.0,579.0,0.0,54.400000000000006,7.045596361160278
27,491.0,491.0,0.0,30.933333333333334,6.61587119102478
28,564.0,564.0,0.0,50.4,7.422512531280518
29,517.0,517.0,0.0,37.86666666666667,6.4248716831207275
30,513.0,513.0,0.0,36.8,6.673816442489624
