run,best_cost,avg_cost,std_dev,avg_exc,time
1,377.0,422.08,15.092832736103585,12.55466666666666,1027.2528095245361
2,377.0,419.26,16.449693006253945,11.802666666666664,784.6070694923401
3,377.0,421.68,13.78468715640656,12.448000000000002,1018.3249480724335
4,377.0,421.6,16.378034070058593,12.426666666666673,836.0138647556305
5,377.0,418.94,17.644727257739067,11.717333333333332,805.6109502315521
6,377.0,418.92,12.666238589257665,11.712000000000005,875.7236461639404
7,377.0,416.88,14.830563037187765,11.168,1013.9296884536743
8,377.0,421.76,15.958145255636696,12.469333333333331,799.0790796279907
9,377.0,422.74,15.14834644441432,12.730666666666668,823.8265764713287
10,377.0,425.58,15.008117803375612,13.487999999999994,800.5606496334076
11,377.0,419.4,16.216041440499588,11.839999999999993,1011.7292900085449
12,377.0,419.16,16.06407171298734,11.776000000000007,810.0733013153076
13,377.0,421.28,17.14647485636625,12.341333333333326,1020.7180511951447
14,377.0,423.2,16.891417939296865,12.85333333333333,830.1011519432068
15,377.0,422.64,16.47878636307905,12.703999999999995,829.2309710979462
16,377.0,418.7,14.596232390586279,11.65333333333333,1014.4977307319641
17,377.0,422.02,16.576477309730194,12.538666666666662,803.0253798961639
18,377.0,413.38,14.12783068981222,10.234666666666666,1028.9480240345001
19,377.0,420.08,14.316200613291223,12.02133333333333,808.9141681194305
20,377.0,425.18,15.915640106511582,13.381333333333334,801.1818015575409
21,377.0,421.86,16.528774909230265,12.496000000000004,1022.1404705047607
22,377.0,422.86,11.971649844528532,12.76266666666667,793.2164778709412
23,377.0,420.04,13.15136494817173,12.010666666666673,799.256840467453
24,377.0,426.04,16.00744826635401,13.61066666666667,799.6168386936188
25,377.0,422.96,13.932637941179696,12.789333333333328,468.66103529930115
26,377.0,418.52,15.588765185222337,11.605333333333329,464.66806411743164
27,377.0,424.1,15.432757368662283,13.09333333333334,461.90616250038147
28,377.0,425.14,16.374382431102553,13.370666666666665,464.5046269893646
29,377.0,419.46,15.053517861284119,11.855999999999995,459.2251811027527
30,377.0,421.78,15.14369835938368,12.474666666666659,467.33322310447693
