run,best_cost,avg_cost,std_dev,avg_exc,time
1,377.0,423.32,13.867141017527729,12.885333333333332,1273.3281381130219
2,377.0,421.84,16.7216745572924,12.490666666666659,1258.4935369491577
3,377.0,419.12,14.78464067875848,11.765333333333334,1263.9152681827545
4,377.0,422.68,16.849261111395954,12.714666666666668,1260.6743247509003
5,377.0,420.08,17.289117964777727,12.02133333333333,1262.8579754829407
6,377.0,425.78,16.50004848477725,13.541333333333325,1260.7682247161865
7,377.0,422.96,15.144583190038608,12.789333333333328,1267.2755506038666
8,377.0,421.08,16.20227144569551,12.287999999999997,1271.8462479114532
9,377.0,424.36,17.209020890219175,13.16266666666667,1565.0980439186096
10,377.0,420.82,17.332847429086772,12.218666666666666,1562.6674301624298
11,377.0,423.68,14.209067527462878,12.981333333333337,1428.489058971405
12,377.0,422.46,17.17115022355812,12.655999999999995,1256.3332033157349
13,377.0,422.52,13.814832608468334,12.671999999999993,1272.870455980301
14,377.0,421.78,15.17931487254942,12.474666666666659,1558.9478814601898
15,377.0,424.44,16.35867965332166,13.184,1326.799037694931
16,377.0,423.96,16.41579726970335,13.055999999999996,1277.2351956367493
17,377.0,422.42,15.0320856836302,12.645333333333337,1273.0298006534576
18,377.0,428.68,15.586455658680071,14.314666666666668,1269.98908162117
19,377.0,423.22,14.20322498589669,12.858666666666673,1266.8159184455872
20,377.0,421.64,16.693423854919637,12.43733333333333,1268.1918168067932
21,377.0,420.76,14.892360457630616,12.202666666666664,1260.7083041667938
22,377.0,426.82,16.262459838536113,13.818666666666665,1266.0818452835083
23,377.0,423.66,14.525302062263627,12.976000000000006,1264.520920753479
24,377.0,421.82,14.826584232384747,12.485333333333331,1247.4775211811066
25,377.0,422.08,15.83014845160967,12.55466666666666,699.9232211112976
26,377.0,423.74,12.512090153127893,12.997333333333335,690.3692796230316
27,377.0,423.08,16.028524573397267,12.821333333333328,693.2848825454712
28,377.0,421.68,16.795761370060006,12.448000000000002,689.737973690033
29,377.0,421.56,15.450773443423472,12.416,693.830415725708
30,377.0,422.72,19.295636812502458,12.72533333333334,699.5699946880341
