run,best_cost,avg_cost,std_dev,avg_exc,time
1,377.0,422.86,14.532735461708508,12.76266666666667,1496.4730916023254
2,377.0,421.36,15.550897080233025,12.362666666666671,1647.010437965393
3,377.0,420.32,14.872040882138538,12.085333333333331,1394.35955452919
4,377.0,422.2,12.90891165048394,12.586666666666662,1270.8358969688416
5,377.0,419.54,15.123769371423249,11.877333333333338,1275.7365267276764
6,377.0,421.66,14.496358163345716,12.442666666666673,1253.7762351036072
7,377.0,424.44,13.753777662882296,13.184,1507.7638046741486
8,377.0,417.66,13.473841323097137,11.376000000000007,1647.378134727478
9,377.0,421.0,14.3429425153976,12.266666666666666,1405.5432422161102
10,377.0,417.2,14.546477236774544,11.25333333333333,1380.8400897979736
11,377.0,422.0,14.878171930717834,12.533333333333333,1383.5797634124756
12,377.0,420.42,16.164269238044756,12.112000000000005,1299.7366750240326
13,377.0,422.12,17.155337361882452,12.565333333333333,1253.600979089737
14,377.0,425.86,16.691327089240087,13.56266666666667,1636.5875134468079
15,377.0,423.28,16.156781857783436,12.87466666666666,1268.2381303310394
16,377.0,421.88,14.697809360581596,12.501333333333331,1333.1897854804993
17,377.0,418.96,15.507365991682791,11.722666666666662,1528.559822320938
18,377.0,420.44,16.9860648768336,12.117333333333333,1630.424720287323
19,377.0,423.06,17.905764434952225,12.815999999999999,1548.3541305065155
20,377.0,419.32,16.64624882668765,11.818666666666665,1338.6969842910767
21,377.0,421.6,15.06120845085148,12.426666666666673,1380.0329644680023
22,377.0,425.04,18.429281049460393,13.344000000000007,1227.5873498916626
23,377.0,421.3,14.902684321960255,12.34666666666667,1263.2421202659607
24,377.0,423.18,15.641854110047184,12.848,1256.6740317344666
25,377.0,425.54,14.243889918136828,13.477333333333338,749.4339001178741
26,377.0,422.66,15.757677493844072,12.709333333333339,749.1197245121002
27,377.0,422.14,16.657742944348733,12.570666666666664,737.9036109447479
28,377.0,419.76,13.590526111964909,11.935999999999998,748.6760251522064
29,377.0,420.7,15.73689931339716,12.186666666666664,748.2630069255829
30,377.0,425.94,14.086035638177266,13.584,740.9631798267365
