run,best_cost,avg_cost,std_dev,avg_exc,time
1,377.0,419.1,13.68685500763415,11.760000000000007,876.7841274738312
2,377.0,422.28,19.22502535759056,12.607999999999992,1174.0546793937683
3,377.0,414.92,14.309213814881655,10.645333333333337,1179.1955058574677
4,377.0,420.54,12.960262343023771,12.144000000000005,1169.0288388729095
5,377.0,421.6,15.52030927526897,12.426666666666673,895.1017618179321
6,377.0,419.08,15.531696623357025,11.754666666666662,1174.2795329093933
7,377.0,412.46,17.975772584231255,9.989333333333327,900.7178444862366
8,377.0,418.0,14.857994481086605,11.466666666666667,1173.587583065033
9,377.0,418.5,17.471405209656147,11.600000000000001,895.2744238376617
10,377.0,419.1,15.787653403846944,11.760000000000007,898.2287037372589
11,377.0,419.34,17.624539710301654,11.823999999999993,1176.52894449234
12,377.0,419.52,17.844035418032547,11.871999999999995,899.0329918861389
13,377.0,422.94,13.40061192632635,12.783999999999999,891.3778665065765
14,377.0,416.18,17.306287874642557,10.981333333333335,1177.0956704616547
15,377.0,416.08,18.507122953068638,10.954666666666663,892.7863366603851
16,377.0,415.94,15.89642727156011,10.917333333333334,900.8792617321014
17,377.0,424.08,16.59378196795414,13.087999999999997,1171.7406196594238
18,377.0,420.22,15.996612141325425,12.058666666666674,875.9002287387848
19,377.0,417.42,16.92346300258904,11.312000000000005,1182.130719423294
20,377.0,422.36,15.62403277006292,12.629333333333337,898.1647942066193
21,377.0,415.82,16.809152268927782,10.885333333333332,896.3078961372375
22,377.0,415.52,19.130331936482442,10.805333333333328,1166.153241634369
23,377.0,418.94,16.429741324804844,11.717333333333332,971.4303646087646
24,377.0,416.82,15.004919193384548,11.151999999999997,929.081894159317
25,377.0,416.64,14.611995072542285,11.103999999999996,549.1822738647461
26,377.0,418.72,17.174446133718547,11.658666666666674,551.0763130187988
27,377.0,419.36,13.950999964160275,11.829333333333338,546.0686345100403
28,377.0,418.8,13.444701558606647,11.680000000000003,549.1574461460114
29,377.0,419.04,16.316813414389465,11.744000000000005,546.5389022827148
30,377.0,416.44,17.069458105048327,11.050666666666666,543.2157821655273
