run,best_cost,avg_cost,std_dev,avg_exc,time
1,485.0,485.0,0.0,29.333333333333332,11.27989149093628
2,520.0,520.0,0.0,38.666666666666664,11.120439052581787
3,511.0,511.0,0.0,36.266666666666666,15.687742948532104
4,490.0,490.0,0.0,30.666666666666664,12.825353145599365
5,509.0,509.0,0.0,35.733333333333334,16.102807760238647
6,473.0,473.0,0.0,26.13333333333333,13.05396819114685
7,557.0,557.0,0.0,48.53333333333333,14.31094741821289
8,542.0,542.0,0.0,44.53333333333334,15.49761700630188
9,459.0,459.0,0.0,22.400000000000002,13.102685451507568
10,561.0,561.0,0.0,49.6,16.3666729927063
11,572.0,572.0,0.0,52.53333333333333,12.876182794570923
12,505.0,505.0,0.0,34.66666666666667,12.83830213546753
13,523.0,523.0,0.0,39.46666666666667,12.7542564868927
14,534.0,534.0,0.0,42.4,12.338780164718628
15,519.0,519.0,0.0,38.4,13.245394468307495
16,559.0,559.0,0.0,49.06666666666666,12.700877904891968
17,549.0,549.0,0.0,46.400000000000006,12.815125465393066
18,538.0,538.0,0.0,43.46666666666666,14.698670387268066
19,486.0,486.0,0.0,29.599999999999998,11.68504023551941
20,506.0,506.0,0.0,34.93333333333333,14.67568826675415
21,520.0,520.0,0.0,38.666666666666664,15.71676254272461
22,532.0,532.0,0.0,41.86666666666667,14.464848041534424
23,521.0,521.0,0.0,38.93333333333333,12.366487979888916
24,531.0,531.0,0.0,41.6,11.998511791229248
25,544.0,544.0,0.0,45.06666666666666,8.268081665039062
26,551.0,551.0,0.0,46.93333333333333,7.4081525802612305
27,537.0,537.0,0.0,43.2,6.835589170455933
28,549.0,549.0,0.0,46.400000000000006,6.67420506477356
29,535.0,535.0,0.0,42.66666666666667,6.748943090438843
30,566.0,566.0,0.0,50.93333333333333,7.081071138381958
